Day	Jan.	Feb.	Mar.	Apr.	May	June	July	Aug.	Sep.	Oct.	Nov.	Dec.
01	09:37	10:21	11:23	12:38	13:47	14:37	14:44	14:04	12:58	11:47	10:35	09:44
02	09:38	10:23	11:25	12:41	13:49	14:38	14:43	14:02	12:56	11:44	10:33	09:43
03	09:38	10:25	11:28	12:43	13:51	14:39	14:42	14:01	12:54	11:42	10:31	09:42
04	09:39	10:27	11:30	12:46	13:53	14:40	14:42	13:59	12:51	11:39	10:29	09:41
05	09:40	10:29	11:33	12:48	13:55	14:40	14:41	13:57	12:49	11:37	10:27	09:40
06	09:41	10:31	11:35	12:50	13:57	14:41	14:40	13:55	12:46	11:35	10:25	09:40
07	09:42	10:33	11:38	12:53	13:59	14:42	14:39	13:53	12:44	11:32	10:23	09:39
08	09:43	10:35	11:40	12:55	14:01	14:43	14:38	13:51	12:42	11:30	10:21	09:38
09	09:44	10:37	11:42	12:58	14:03	14:43	14:37	13:49	12:39	11:27	10:19	09:37
10	09:45	10:39	11:45	13:00	14:04	14:44	14:36	13:47	12:37	11:25	10:17	09:37
11	09:46	10:41	11:47	13:02	14:06	14:44	14:35	13:45	12:35	11:23	10:15	09:36
12	09:48	10:44	11:50	13:05	14:08	14:45	14:34	13:43	12:32	11:20	10:13	09:35
13	09:49	10:46	11:52	13:07	14:10	14:45	14:33	13:41	12:30	11:18	10:11	09:35
14	09:50	10:48	11:55	13:09	14:12	14:46	14:32	13:38	12:27	11:16	10:10	09:34
15	09:51	10:50	11:57	13:12	14:13	14:46	14:31	13:36	12:25	11:13	10:08	09:34
16	09:53	10:53	11:59	13:14	14:15	14:46	14:30	13:34	12:23	11:11	10:06	09:34
17	09:54	10:55	12:02	13:16	14:17	14:46	14:28	13:32	12:20	11:09	10:04	09:33
18	09:56	10:57	12:04	13:19	14:18	14:47	14:27	13:30	12:18	11:06	10:03	09:33
19	09:57	10:59	12:07	13:21	14:20	14:47	14:25	13:28	12:15	11:04	10:01	09:33
20	09:59	11:02	12:09	13:23	14:21	14:47	14:24	13:26	12:13	11:02	09:59	09:33
21	10:01	11:04	12:12	13:25	14:23	14:47	14:23	13:23	12:11	10:59	09:58	09:33
22	10:02	11:06	12:14	13:28	14:24	14:47	14:21	13:21	12:08	10:57	09:56	09:33
23	10:04	11:09	12:17	13:30	14:26	14:47	14:20	13:19	12:06	10:55	09:55	09:33
24	10:06	11:11	12:19	13:32	14:27	14:46	14:18	13:17	12:03	10:53	09:53	09:33
25	10:07	11:14	12:21	13:34	14:29	14:46	14:16	13:14	12:01	10:50	09:52	09:34
26	10:09	11:16	12:24	13:36	14:30	14:46	14:15	13:12	11:59	10:48	09:51	09:34
27	10:11	11:18	12:26	13:38	14:31	14:46	14:13	13:10	11:56	10:46	09:49	09:34
28	10:13	11:21	12:29	13:41	14:32	14:45	14:11	13:07	11:54	10:44	09:48	09:35
29	10:15		12:31	13:43	14:33	14:45	14:10	13:05	11:51	10:42	09:47	09:35
30	10:17		12:34	13:45	14:35	14:44	14:08	13:03	11:49	10:39	09:46	09:36
31	10:19		12:36		14:36		14:06	13:01		10:37		09:36
