STATION,STATION_NAME,ELEVATION,LATITUDE,LONGITUDE,DATE,HPCP,Measurement Flag,Quality Flag
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19480701 01:00,0.00,g, 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19480701 13:00,999.99,[, 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19480702 00:00,999.99,], 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19480705 03:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19480705 05:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19480801 01:00,0.00,g, 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19480801 13:00,999.99,[, 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19480802 00:00,999.99,], 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19480821 22:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19480822 02:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19480901 01:00,0.00,g, 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19480901 13:00,999.99,[, 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19480902 00:00,999.99,], 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19480918 05:00,0.08, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19480918 11:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481001 01:00,0.00,g, 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481001 13:00,999.99,[, 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481002 00:00,999.99,], 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481003 01:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481003 03:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481011 02:00,0.08, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481011 03:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481011 18:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481012 21:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481013 02:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481101 01:00,0.00,g, 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481101 15:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481101 18:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481101 19:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481101 20:00,0.05, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481101 21:00,0.09, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481101 22:00,0.08, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481101 23:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481102 01:00,0.01, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481102 02:00,0.02, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481102 03:00,0.03, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481102 04:00,0.05, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481102 05:00,0.04, , 
COOP:047772,SAN FRANCISCO DOWNTOWN CA US,38.1,37.78333,-122.41667,19481102 06:00,0.04, , 
